ip_address,status,mqtt
27.50.20.21,,gagal
27.50.20.22,,gagal
27.50.20.23,,gagal
27.50.20.24,,gagal
27.50.20.25,,gagal
27.50.20.26,,gagal
27.50.20.27,,gagal
27.50.20.28,,gagal
27.50.20.29,,gagal
27.50.20.30,,gagal
27.50.20.31,,gagal
27.50.20.32,,gagal
27.50.20.33,,gagal
27.50.20.34,,gagal
27.50.20.35,,gagal
27.50.20.36,,gagal
27.50.20.37,,gagal
27.50.20.38,,gagal
27.50.20.39,,gagal
27.50.20.40,,gagal
27.50.20.41,,gagal
27.50.20.42,,gagal
27.50.20.43,,gagal
27.50.20.44,,gagal
27.50.20.45,,gagal
27.50.20.46,,gagal
27.50.20.47,,gagal
